date,model,n,n_low_visibility,mae,rmse,mean_bias
2026-06-05,nested_svr_balanced,4,1,1.276086207043568,2.3191679162583547,1.0380601757518817
2026-06-05,transfer_weighted_ridge_reference,4,1,1.7215618360528937,2.3055987572198258,0.4118634337516336
2026-06-09,dummy_10km,4,0,0.0,0.0,0.0
2026-06-09,weather_ridge,4,0,0.0,0.0,0.0
2026-06-09,image_pca_ridge,4,0,0.7021641205151772,0.8269087356466374,-0.7021641205151772
2026-06-09,fusion_pca_ridge,4,0,0.5993654430835509,0.7408261457870795,-0.5993654430835509
2026-06-09,fusion_pca_xgboost,4,0,0.3599529266357417,0.3661284990100855,-0.3599529266357417
2026-06-09,nested_svr_mae,4,0,0.1391679320686791,0.1962158295182866,-0.1391679320686791
2026-06-09,nested_svr_balanced,4,0,0.3644924925177184,0.4713369027950853,-0.3644924925177184
2026-06-09,transfer_weighted_ridge_reference,4,0,0.3972510354969798,0.4528678538100298,-0.3972510354969798
2026-06-10,dummy_10km,4,1,1.5,3.0,1.5
2026-06-10,weather_ridge,4,1,1.7766817584256709,2.795507399937991,0.979911909175903
2026-06-10,image_pca_ridge,4,1,2.28335810364701,3.0654312560595063,0.6233141710169843
2026-06-10,fusion_pca_ridge,4,1,2.3186076097911066,3.0780906954688807,0.588677526028591
2026-06-10,fusion_pca_xgboost,4,1,1.773777723312378,2.881673572841505,1.0791256427764893
2026-06-10,nested_svr_mae,4,1,1.6868400039306772,3.0086067183774787,1.3131599960693228
2026-06-10,nested_svr_balanced,4,1,1.78343765659578,2.805747431749751,0.977716156013837
2026-06-10,transfer_weighted_ridge_reference,4,1,2.006429401730805,2.5725389608777416,0.3833593983072143
2026-06-11,dummy_10km,4,0,0.0,0.0,0.0
2026-06-11,weather_ridge,4,0,0.6600417599367416,0.6701113156527131,-0.6600417599367416
2026-06-11,image_pca_ridge,4,0,1.36054497757217,1.3895485734207087,-1.36054497757217
2026-06-11,fusion_pca_ridge,4,0,1.4253084394264168,1.4569155395282982,-1.4253084394264168
2026-06-11,fusion_pca_xgboost,4,0,0.953765869140625,0.9662959733937334,-0.953765869140625
2026-06-11,nested_svr_mae,4,0,0.2247043973564482,0.2349343878301019,-0.2247043973564482
2026-06-11,nested_svr_balanced,4,0,0.1994240767270918,0.3033025857384862,-0.1994240767270918
2026-06-11,transfer_weighted_ridge_reference,4,0,1.633295017183174,1.6521856045857166,-1.633295017183174
2026-06-12,dummy_10km,4,1,1.25,2.5,1.25
2026-06-12,weather_ridge,4,1,1.5606601609994133,2.2877697823759857,0.6670040807125117
2026-06-12,image_pca_ridge,4,1,1.4738102310002643,1.9660945471891915,0.3851757517756322
2026-06-12,fusion_pca_ridge,4,1,1.498982733778154,1.9649288675062533,0.3444750110103585
2026-06-12,fusion_pca_xgboost,4,1,1.390507698059082,2.2745435641126317,0.8633208274841309
2026-06-12,nested_svr_mae,4,1,1.2442101677878443,2.246581377654994,0.9971736138879934
2026-06-12,nested_svr_balanced,4,1,1.2442101677878443,2.246581377654994,0.9971736138879934
2026-06-12,transfer_weighted_ridge_reference,4,1,1.97711964783422,2.3181788347186068,0.0424551080572386
2026-06-13,dummy_10km,14,0,0.0,0.0,0.0
2026-06-13,weather_ridge,14,0,0.6829280190794691,0.6914113139462462,-0.6829280190794691
2026-06-13,image_pca_ridge,14,0,0.0744685739240925,0.179716045710308,-0.0744685739240925
2026-06-13,fusion_pca_ridge,14,0,0.0825132522275264,0.1957440604755929,-0.0825132522275264
2026-06-13,fusion_pca_xgboost,14,0,0.386021477835519,0.3950201620152155,-0.386021477835519
2026-06-13,nested_svr_mae,14,0,0.1832568541699414,0.2226830554911307,-0.1832568541699414
2026-06-13,nested_svr_balanced,14,0,0.2102740949230141,0.2919166913996105,-0.2102740949230141
2026-06-13,transfer_weighted_ridge_reference,14,0,0.7886960198309343,0.8530262410203231,-0.7886960198309343
2026-06-15,dummy_10km,4,0,0.0,0.0,0.0
2026-06-15,weather_ridge,4,0,0.5659054292150816,0.5764217410208453,-0.5659054292150816
2026-06-15,image_pca_ridge,4,0,0.5903028470024689,0.6810259181275741,-0.5903028470024689
2026-06-15,fusion_pca_ridge,4,0,0.5927610291125531,0.6813659078557819,-0.5927610291125531
2026-06-15,fusion_pca_xgboost,4,0,0.4365179538726806,0.4391037507388844,-0.4365179538726806
2026-06-15,nested_svr_mae,4,0,0.1799004957890342,0.2201937274817062,-0.1799004957890342
2026-06-15,nested_svr_balanced,4,0,0.1560375999958982,0.1888195445724457,-0.1560375999958982
2026-06-15,transfer_weighted_ridge_reference,4,0,0.5377758053807824,0.6261249786225422,-0.5377758053807824
2026-06-16,dummy_10km,4,1,1.25,2.5,1.25
2026-06-16,weather_ridge,4,1,1.5838668299626706,2.332110585649653,0.6864530628993997
2026-06-16,image_pca_ridge,4,1,1.5862084738459243,2.2310686475665062,0.5304594327709715
2026-06-16,fusion_pca_ridge,4,1,1.5726908967621127,2.1959672503525,0.5072697202095227
2026-06-16,fusion_pca_xgboost,4,1,1.720272302627563,2.257328886427701,0.3991653919219966
2026-06-16,nested_svr_mae,4,1,1.2747480712934809,2.2658828780979428,0.9794048298732688
2026-06-16,nested_svr_balanced,4,1,1.338718026598538,2.1733360115087965,0.7970206688687749
2026-06-16,transfer_weighted_ridge_reference,4,1,1.7478389254278328,2.2246328193818394,0.2836698921177571
2026-06-17,dummy_10km,4,1,1.25,2.5,1.25
2026-06-17,weather_ridge,4,1,1.5365588569897763,2.3184083785956524,0.7294809358988621
2026-06-17,image_pca_ridge,4,1,1.3880577682318322,2.130249530592418,0.6571767757505875
2026-06-17,fusion_pca_ridge,4,1,1.3932352217550128,2.1599154676232404,0.6863309545475631
2026-06-17,fusion_pca_xgboost,4,1,1.4006719589233398,2.198488414268892,0.7563157081604004
2026-06-17,nested_svr_mae,4,1,1.4533593965861202,2.385892605801419,0.90708318997045
2026-06-17,nested_svr_balanced,4,1,1.3967141863504424,2.3988749988457228,0.9902205702697828
2026-06-17,transfer_weighted_ridge_reference,4,1,1.4319539603026787,2.0500681605494644,0.6079477579776396
2026-06-18,dummy_10km,4,2,2.5,3.5355339059327378,2.5
2026-06-18,weather_ridge,4,2,2.670964849867449,3.272309860647754,1.8848719601005304
2026-06-18,image_pca_ridge,4,2,2.3296372185056984,3.140043217920173,2.076701861933908
2026-06-18,fusion_pca_ridge,4,2,2.4068344682279514,3.1675088319956086,2.0302277702278198
2026-06-18,fusion_pca_xgboost,4,2,2.5455610752105717,3.239536608834875,1.9987690448760984
2026-06-18,nested_svr_mae,4,2,2.45413484089509,3.282180940241348,2.1762109625363224
2026-06-18,nested_svr_balanced,4,2,2.394602466271029,2.9952832868647943,1.7916422780500212
2026-06-18,transfer_weighted_ridge_reference,4,2,3.042662780928952,3.629597275774879,1.9581838498430213
2026-06-19,dummy_10km,4,1,1.25,2.5,1.25
2026-06-19,weather_ridge,4,1,1.5403053600085088,2.3317248386617044,0.7414633089256353
2026-06-19,image_pca_ridge,4,1,1.740487757986453,2.3235462325567244,0.4146509637606828
2026-06-19,fusion_pca_ridge,4,1,1.7540005714646465,2.3225667591882764,0.3922551473490299
2026-06-19,fusion_pca_xgboost,4,1,1.5066862106323238,2.305056432623949,0.7564764022827153
2026-06-19,nested_svr_mae,4,1,1.4686607024131837,2.5166026214807444,1.0313392975868163
2026-06-19,nested_svr_balanced,4,1,1.6163062699902375,2.548333099863528,0.8813147802631183
2026-06-19,transfer_weighted_ridge_reference,4,1,1.5815903476131885,2.6297624958163826,1.0226456529418506
2026-06-22,dummy_10km,13,0,0.0,0.0,0.0
