model,family,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,feature_mode,pca_components,C,epsilon,alpha,weight_beta
fusion_svr_pc10_C3.0_e0.5,svr,127,0.9258609593109977,1.4820897775230852,-0.06616918032588681,0.59679159373019,-0.07986379156176507,2.808778916700039,2.4909464159221133,0.5979382922115258,0.8031496062992126,0.9133858267716536,1.5444423540668195,fusion,10.0,3.0,0.5,,
fusion_svr_pc1_C30.0_e0.75,svr,127,0.9275207656527412,1.514365939718292,-0.11311174937651924,0.5795854329633041,-0.03212252374751608,2.8107590752386984,2.584444925499172,0.5803557035896794,0.8031496062992126,0.905511811023622,1.5824003145444256,fusion,1.0,30.0,0.75,,
image_svr_pc10_C10.0_e0.25,svr,127,0.9290901591475133,1.530899480477791,-0.1375498878882917,0.5761961554510737,-0.08605921732433562,2.8759813390307394,2.5363742860668084,0.5923258658882324,0.6929133858267716,0.8976377952755905,1.5643500759775204,image,10.0,10.0,0.25,,
fusion_svr_pc15_C3.0_e0.5,svr,127,0.9306914109751061,1.5074406118483952,-0.10295431328835591,0.5835359661570791,-0.07497081315536619,2.8662444440634216,2.56082241342466,0.5891401533190092,0.8031496062992126,0.9133858267716536,1.5749812833718346,fusion,15.0,3.0,0.5,,
fusion_svr_pc3_C10.0_e0.75,svr,127,0.9360471813975094,1.491655330505079,-0.07997591321142328,0.6073944358303969,-0.12015923649197496,2.81281872061036,2.3888999610178256,0.6316399323342052,0.7716535433070866,0.905511811023622,1.5102699466760154,fusion,3.0,10.0,0.75,,
fusion_svr_pc5_C30.0_e0.5,svr,127,0.9420216532334641,1.645585385814067,-0.3143709270200401,0.43716029289757863,-0.03742489939748345,2.923684318177931,2.6988858728173213,0.5739167691301795,0.7165354330708661,0.8818897637795275,1.6364013209737505,fusion,5.0,30.0,0.5,,
fusion_svr_pc3_C30.0_e0.75,svr,127,0.9452870691278837,1.5496548084452983,-0.16559328554531194,0.616269427023985,-0.14762670922933477,2.8333697749830944,2.4358473401333303,0.6329792028219806,0.7244094488188977,0.8582677165354331,1.5344132714776555,fusion,3.0,30.0,0.75,,
fusion_svr_pc8_C10.0_e0.25,svr,127,0.9454091544691986,1.5803174032562621,-0.21217618175784891,0.561562047617377,-0.07428861440429452,2.8940206547411638,2.6183761495896754,0.5948827364439555,0.7165354330708661,0.8740157480314961,1.6066294430168155,fusion,8.0,10.0,0.25,,
image_svr_pc15_C10.0_e0.25,svr,127,0.9530534675677877,1.598043832199214,-0.23952267293534346,0.4557493179285501,-0.08261483669283656,2.9685101108958687,2.7151047913536117,0.5838617616317106,0.7007874015748031,0.889763779527559,1.6494832764926612,image,15.0,10.0,0.25,,
fusion_svr_pc1_C10.0_e0.75,svr,127,0.9578708744235402,1.4755861215208084,-0.05683265574054652,0.6405295027938855,-0.10789145515970844,2.8238017131826236,2.453349687420605,0.6445324564622504,0.8582677165354331,0.9133858267716536,1.5489410719414278,fusion,1.0,10.0,0.75,,
image_svr_pc2_C10.0_e0.75,svr,127,0.965306307492894,1.4499314930968898,-0.02040379858440544,0.7055041351693223,-0.1571073979380419,2.7962282244558607,2.3327559434878684,0.6787930504272803,0.9133858267716536,0.9133858267716536,1.5057744969575744,image,2.0,10.0,0.75,,
fusion_svr_pc10_C10.0_e0.25,svr,127,0.9725755401061525,1.5681868979160443,-0.19363829243651387,0.7029710180324784,-0.1235742953870277,2.8992678845929856,2.5555549434811202,0.6409036651133022,0.6850393700787402,0.8818897637795275,1.5982293042972113,fusion,10.0,10.0,0.25,,
image_svr_pc5_C30.0_e0.75,svr,127,0.9754785845015124,1.6330861213348735,-0.29447979660626467,0.5301812880797385,-0.0901512260430451,2.959120385644482,2.671427617791664,0.6201368822883379,0.7322834645669292,0.8740157480314961,1.645782250040001,image,5.0,30.0,0.75,,
fusion_svr_pc15_C10.0_e0.25,svr,127,0.9763931335162248,1.6166628531946468,-0.26857462344650407,0.4752603037286285,-0.10810252095042908,2.9683615279283275,2.6995956102926537,0.6153411860011635,0.6850393700787402,0.8740157480314961,1.6574683981469085,fusion,15.0,10.0,0.25,,
fusion_svr_pc2_C3.0_e0.75,svr,127,0.9854668149095889,1.4581407205386003,-0.03199116060308271,0.7134399182898914,-0.18204690397283554,2.7695187928687783,2.318962015658357,0.7060678204669902,0.905511811023622,0.9133858267716536,1.5125149180626736,fusion,2.0,3.0,0.75,,
image_svr_pc3_C3.0_e0.75,svr,127,0.986809757390763,1.4502371904451667,-0.02083411907937527,0.7141179070271768,-0.18273265884269144,2.722721961922837,2.3208588980819345,0.7072946993411844,0.8976377952755905,0.9133858267716536,1.5140767987115593,image,3.0,3.0,0.75,,
fusion_svr_pc3_C3.0_e0.75,svr,127,0.9877465954014852,1.4567168373519799,-0.029976653517937768,0.7021495557335484,-0.18379353876661758,2.726133821278763,2.320500868014278,0.7085028430445193,0.889763779527559,0.9133858267716536,1.5145018555293985,fusion,3.0,3.0,0.75,,
image_svr_pc5_C10.0_e0.75,svr,127,0.9950612388362343,1.5959310694157876,-0.2362473106960592,0.638761104505285,-0.11335762573727769,2.884564921932944,2.590553718506132,0.6607675764292084,0.7559055118110236,0.889763779527559,1.62566064746767,image,5.0,10.0,0.75,,
image_svr_pc5_C3.0_e0.75,svr,127,0.9953758620968962,1.4948227029039047,-0.08456721196698957,0.6801717244111636,-0.160717515084855,2.715181439353095,2.409127501602937,0.6991612328670591,0.84251968503937,0.9133858267716536,1.5541443672349982,image,5.0,3.0,0.75,,
image_svr_pc8_C1.0_e0.75,svr,127,0.9982338532680636,1.4484791327276605,-0.01836059612081975,0.7247468901709961,-0.20707317983946072,2.652409012863766,2.2916281045438183,0.7272369625245722,0.889763779527559,0.9133858267716536,1.5094325335341952,image,8.0,1.0,0.75,,
fusion_svr_pc1_C3.0_e0.75,svr,127,0.9993700298714052,1.4562281471769376,-0.029285709293751072,0.714805955260875,-0.18683867232475818,2.6971333946463547,2.345260963827822,0.7173738341852989,0.905511811023622,0.9133858267716536,1.5313173990065605,fusion,1.0,3.0,0.75,,
image_svr_pc1_C30.0_e0.75,svr,127,1.0025098717214462,1.4472318024310733,-0.016607467508039653,0.7493897979389565,-0.2041193967382731,2.63807137447814,2.304445234610523,0.7297234147351636,0.9133858267716536,0.9133858267716536,1.5170843246728432,image,1.0,30.0,0.75,,
image_svr_pc2_C3.0_e0.75,svr,127,1.0034161494211673,1.455836149149732,-0.02873164273117723,0.7370547196983583,-0.20135063285936355,2.722887183728626,2.315052740985206,0.7285970540458448,0.9133858267716536,0.9133858267716536,1.5218248975155255,image,2.0,3.0,0.75,,
fusion_weighted_ridge_pc2_a1000.0_b0.1,ridge,127,1.0035851736957337,1.4843363785030161,-0.0694038995265065,0.6696188833867716,-0.18827553387251586,2.6635110500153014,2.354635778268539,0.7205079041661938,0.8031496062992126,0.9133858267716536,1.5375718412173665,fusion,2.0,,,1000.0,0.1
image_svr_pc8_C3.0_e0.75,svr,127,1.00649927358102,1.4863889660943608,-0.0723635559699971,0.7452487471196996,-0.21351779971911183,2.7291338758196404,2.363549589378132,0.7221649216997207,0.7007874015748031,0.9133858267716536,1.5428572555389264,image,8.0,3.0,0.75,,
fusion_svr_pc2_C1.0_e0.75,svr,127,1.0069490966221226,1.4531440921348129,-0.024930605482223145,0.7377362017095237,-0.20899618025665864,2.673113396398954,2.3031822813275893,0.7353573817314535,0.9133858267716536,0.9133858267716536,1.5192698315295214,fusion,2.0,1.0,0.75,,
image_svr_pc3_C1.0_e0.75,svr,127,1.007405279723681,1.450649207756296,-0.02141424635615019,0.737870397757181,-0.20919459225563988,2.6575060120393843,2.303926302464574,0.7357532559113039,0.9133858267716536,0.9133858267716536,1.519839779187939,image,3.0,1.0,0.75,,
fusion_svr_pc8_C1.0_e0.75,svr,127,1.0075182854618152,1.4538846078901926,-0.025975471784684068,0.7308400111253004,-0.2186465134580006,2.654178985667075,2.28785384509065,0.7392575015395833,0.8740157480314961,0.9133858267716536,1.5135556733151168,fusion,8.0,1.0,0.75,,
fusion_svr_pc3_C1.0_e0.75,svr,127,1.0076767349290305,1.4521263766575099,-0.023495479426111743,0.7341803765113841,-0.20956477708742913,2.658643174676495,2.3036413328609857,0.7361412953623351,0.9133858267716536,0.9133858267716536,1.5198913141116603,fusion,3.0,1.0,0.75,,
image_svr_pc5_C1.0_e0.75,svr,127,1.009924777702379,1.4632829208425309,-0.0392827235570441,0.726690777355854,-0.20119360432607802,2.6553314784699227,2.3342922504270507,0.7324382596076859,0.905511811023622,0.9133858267716536,1.5333652550173684,image,5.0,1.0,0.75,,
image_svr_pc8_C10.0_e0.5,svr,127,1.0109574840951105,1.571000471782075,-0.1979252843109791,0.6883858058921781,-0.18629090655541367,2.8736157683327432,2.5165765480274405,0.6954944421283366,0.6614173228346457,0.8818897637795275,1.6060354950778886,image,8.0,10.0,0.5,,
image_svr_pc8_C0.3_e0.75,svr,127,1.011034814343848,1.4496384703052005,-0.019991404815612013,0.7424538483951455,-0.21784091303415043,2.6308144418989023,2.2894460333257185,0.7431772256047895,0.9133858267716536,0.9133858267716536,1.516311629465254,image,8.0,0.3,0.75,,
image_svr_pc10_C10.0_e0.5,svr,127,1.0112783806224195,1.5677497101098545,-0.19297284705387985,0.7114354704305885,-0.20940452770537027,2.863265591100908,2.4588050014468403,0.7079870886401598,0.6220472440944882,0.8818897637795275,1.5833960450435,image,10.0,10.0,0.5,,
image_svr_pc1_C10.0_e0.75,svr,127,1.0115514137879615,1.4498420925003102,-0.020277969334691726,0.7496909872746436,-0.21512731011995873,2.6288513116994934,2.2987695719508263,0.7418485616014564,0.9133858267716536,0.9133858267716536,1.5203090667761414,image,1.0,10.0,0.75,,
fusion_svr_pc1_C1.0_e0.75,svr,127,1.0115854006912846,1.4531997010183433,-0.02500905102320128,0.7387393187008993,-0.21061820804403864,2.6485382860804574,2.3118825787772783,0.739142182425648,0.9133858267716536,0.9133858267716536,1.5255123806014632,fusion,1.0,1.0,0.75,,
image_svr_pc2_C1.0_e0.75,svr,127,1.0129543311743292,1.4533464172404273,-0.02521603296378605,0.7459248741587157,-0.215485371296538,2.657274616434483,2.301785406919988,0.7429135343514292,0.9133858267716536,0.9133858267716536,1.5223494706357086,image,2.0,1.0,0.75,,
fusion_weighted_ridge_pc15_a1000.0_b0.1,ridge,127,1.0134506856451369,1.5385210716871656,-0.14890467898772441,0.7004737703041233,-0.20928309538504403,2.772084697921752,2.4149280792292203,0.7198078031799003,0.7165354330708661,0.8976377952755905,1.5673679412045602,fusion,15.0,,,1000.0,0.1
fusion_svr_pc8_C0.3_e0.75,svr,127,1.0135619331987347,1.4513581307094843,-0.022412807459098127,0.744335504919956,-0.221323853356286,2.630534471705436,2.286687184999795,0.7468118804404172,0.9133858267716536,0.9133858267716536,1.5167495327201062,fusion,8.0,0.3,0.75,,
image_svr_pc3_C30.0_e1.0,svr,127,1.0138876967236332,1.5089270210799333,-0.10513051810142993,0.7361816844921218,-0.26230485639928103,2.7890029866548,2.300669366339179,0.7442762992803761,0.6141732283464567,0.889763779527559,1.5224728328097776,image,3.0,30.0,1.0,,
image_svr_pc10_C1.0_e0.75,svr,127,1.0142328981608917,1.453574076135226,-0.025537247268396346,0.7261972291747139,-0.22721374324839375,2.6521506025735904,2.284084288940056,0.7481687972357338,0.8976377952755905,0.9133858267716536,1.516126543087895,image,10.0,1.0,0.75,,
fusion_svr_pc2_C0.3_e0.75,svr,127,1.0144627101534038,1.4525524653374484,-0.02409620375125976,0.7461844254831789,-0.21838690927766616,2.639503644125519,2.2977642434367884,0.7455804841321232,0.9133858267716536,0.9133858267716536,1.5216723637844558,fusion,2.0,0.3,0.75,,
image_svr_pc3_C0.3_e0.75,svr,127,1.0146322887129797,1.4518282807037077,-0.02307531138806307,0.7460349041902568,-0.2184848277601523,2.634699903859272,2.2979710804774793,0.745742256152799,0.9133858267716536,0.9133858267716536,1.521856668315139,image,3.0,0.3,0.75,,
fusion_svr_pc3_C0.3_e0.75,svr,127,1.0147458435264807,1.452233518579195,-0.02364651768248871,0.7456088506401528,-0.2185944689286621,2.6351711881016495,2.2979823766800678,0.745877236580015,0.9133858267716536,0.9133858267716536,1.5219298066300415,fusion,3.0,0.3,0.75,,
fusion_svr_pc5_C3.0_e0.75,svr,127,1.0149856960965855,1.505528691191305,-0.10015828427816098,0.6882805841214932,-0.19072683279212116,2.701033671398713,2.3795966000250517,0.7290672209877644,0.84251968503937,0.9133858267716536,1.554331910506408,fusion,5.0,3.0,0.75,,
image_svr_pc1_C3.0_e0.75,svr,127,1.0152952777559794,1.4517673878494777,-0.02298949315435883,0.7497602098342817,-0.21938237424066212,2.629748273960815,2.297294062419211,0.7466860085884454,0.9133858267716536,0.9133858267716536,1.5219900355038283,image,1.0,3.0,0.75,,
image_svr_pc10_C0.3_e0.75,svr,127,1.0153271703360986,1.4514508376588657,-0.022543426908038233,0.7426191010062393,-0.22384477789566498,2.6294510078801228,2.2845059963621606,0.7494039877401619,0.9133858267716536,0.9133858267716536,1.5169549920511614,image,10.0,0.3,0.75,,
image_svr_pc5_C0.3_e0.75,svr,127,1.0154023799177587,1.4553468131925131,-0.028040203955282728,0.7431687881486262,-0.2160914683752709,2.634114142811616,2.3071019492249083,0.7447605653962609,0.9133858267716536,0.9133858267716536,1.5259312573105845,image,5.0,0.3,0.75,,
fusion_svr_pc1_C0.3_e0.75,svr,127,1.0157966767269435,1.4525959214972526,-0.024157480648379526,0.7463592783860005,-0.21880402298528762,2.631830291591925,2.3004106142088703,0.7466394707783492,0.9133858267716536,0.9133858267716536,1.5235250424936098,fusion,1.0,0.3,0.75,,
image_svr_pc2_C0.3_e0.75,svr,127,1.016169515507619,1.4526681174259795,-0.024259287127168738,0.7484970164257749,-0.22025233777153594,2.634735679120829,2.2973063993746035,0.7477408350783462,0.9133858267716536,0.9133858267716536,1.522523617226475,image,2.0,0.3,0.75,,
fusion_svr_pc5_C1.0_e0.75,svr,127,1.0166238708233257,1.4669307429960248,-0.044470843959141027,0.7292384877858389,-0.2113656176193743,2.6506468335478752,2.3242681399295866,0.7426412620582042,0.8976377952755905,0.9133858267716536,1.5334547009938955,fusion,5.0,1.0,0.75,,
