name,feature_mode,pca_components,C,epsilon,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,date_macro_mae
image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,127,0.8335863295888621,1.4666000409132034,-0.0439999699917728,0.4582778924973425,-0.015408649454526482,2.7613365267371357,2.4788319493652975,0.48886819973094225,0.8110236220472441,0.889763779527559,1.4838500745481198,0.9958394437392591
image_svr_pc3_C30.0_e0.75,image,3,30.0,0.75,127,0.9202982399018459,1.4993510422752663,-0.09114822976946191,0.5518301815280466,-0.1562786916126516,2.7255772688867803,2.3745548396768883,0.615596857091837,0.7559055118110236,0.8740157480314961,1.4950758483843627,1.0509652457307401
fusion_svr_pc2_C3.0_e0.25,fusion,2,3.0,0.25,127,0.6939436531946296,1.4774653412960734,-0.059526209761609605,0.27069576082089775,0.27786432333252514,2.9125498828902927,2.804991204976106,0.25162892805946324,0.9133858267716536,0.9133858267716536,1.5283100665177847,0.9109247647024873
fusion_svr_pc2_C3.0_e0.5,fusion,2,3.0,0.5,127,0.8451650750823112,1.4398746087338112,-0.006297623794360163,0.5006798569095618,0.03834548559934119,2.7807711541149387,2.5501327546947703,0.4879337517349391,0.9133858267716536,0.9133858267716536,1.5190332532148547,1.0277104882380965
fusion_svr_pc2_C10.0_e0.25,fusion,2,10.0,0.25,127,0.7210258018640928,1.488267969611773,-0.07507650465924276,0.35426033473390994,0.24040765569390385,2.882635471384403,2.7750465706787635,0.2906595455410191,0.905511811023622,0.9133858267716536,1.5328530581098914,0.9430200284541924
fusion_svr_pc2_C10.0_e0.5,fusion,2,10.0,0.5,127,0.8331346350634413,1.4647313269128461,-0.0413411749799284,0.5019547433618889,0.0541978219253034,2.8546735377884973,2.561164137217513,0.47107131080258835,0.905511811023622,0.9133858267716536,1.5161177240100507,1.0241345539205855
fusion_svr_pc3_C3.0_e0.25,fusion,3,3.0,0.25,127,0.6937442034817566,1.4629009181612267,-0.03874016687154436,0.3085968811059008,0.2532753467884284,2.863730699698143,2.733442792825307,0.26637878476215565,0.905511811023622,0.9133858267716536,1.4999107887937313,0.9031883467473917
fusion_svr_pc3_C3.0_e0.5,fusion,3,3.0,0.5,127,0.8455078478441302,1.4413076741401387,-0.008301698232084043,0.4876232483408369,0.022941018142997815,2.7606103330695144,2.506659226826483,0.49745708272401806,0.8976377952755905,0.9133858267716536,1.5020581547752505,1.0231032405081983
fusion_svr_pc3_C10.0_e0.25,fusion,3,10.0,0.25,127,0.7522156474549038,1.4866839480534797,-0.07278923094248246,0.3662729163663272,0.15952972539601581,2.8127189827349453,2.631628689819699,0.35843386714989883,0.8661417322834646,0.905511811023622,1.495031278484799,0.9483086028925181
fusion_svr_pc3_C10.0_e0.5,fusion,3,10.0,0.5,127,0.8559837817124155,1.495375239611738,-0.08536914513199712,0.4733186304464265,0.0041696132978805665,2.8449928098472923,2.5285951281553634,0.5055318805529408,0.8503937007874016,0.8976377952755905,1.517063504354152,1.028370318839171
